index,value
319.69382,0.000434582
320.01076,0.000435068
320.3277,0.000435554
320.64464,0.00043604
320.96159,0.000436525
321.27853,0.000437011
321.59547,0.000437497
321.91241,0.000437982
322.22935,0.000438468
322.5463,0.000438953
322.86324,0.000439439
323.18018,0.000439924
323.49712,0.00044041
323.81406,0.000440895
324.13101,0.000441381
324.44795,0.000441866
324.76489,0.000442352
325.08183,0.000442837
325.39877,0.000443323
325.71572,0.000443808
326.03266,0.000444294
326.3496,0.000444779
326.66654,0.000445265
326.98348,0.00044575
327.30043,0.000446236
327.61737,0.000446721
327.93431,0.000447206
328.25125,0.000447692
328.56819,0.000448177
328.88514,0.000448663
329.20208,0.000449148
329.51902,0.000449634
329.83596,0.000450119
330.1529,0.000450605
330.46984,0.00045109
330.78679,0.000451576
331.10373,0.000452061
331.42067,0.000452547
331.73761,0.000453032
332.05455,0.000453518
332.3715,0.000454003
332.68844,0.000454489
333.00538,0.000454974
333.32232,0.00045546
333.63926,0.000455946
333.95621,0.000456431
334.27315,0.000456917
334.59009,0.000457403
334.90703,0.000457889
335.22397,0.000458374
335.54092,0.00045886
335.85786,0.000459346
336.1748,0.000459832
336.49174,0.000460318
336.80868,0.000460804
337.12563,0.00046129
337.44257,0.000461776
337.75951,0.000462262
338.07645,0.000462748
338.39339,0.000463234
338.71034,0.00046372
339.02728,0.000464207
339.34422,0.000464693
339.66116,0.000465179
339.9781,0.000465666
340.29505,0.000466152
340.61199,0.000466639
340.92893,0.000467125
341.24587,0.000467612
341.56281,0.000468098
341.87975,0.000468585
342.1967,0.000469072
342.51364,0.000469558
342.83058,0.000470045
343.14752,0.000470532
343.46446,0.000471019
343.78141,0.000471506
344.09835,0.000471993
344.41529,0.00047248
344.73223,0.000472968
345.04917,0.000473455
345.36612,0.000473942
345.68306,0.00047443
346,0.000474917
